activity_id,opportunity_id,activity_type,activity_date,status,owner
TASK-301208,OPP-243043,Call,2023-06-10,Completed,Rep 30
TASK-301209,OPP-222408,Follow-up,2024-04-25,Completed,Rep 9
TASK-301210,OPP-221420,Email,2024-04-20,Completed,Rep 28
TASK-301211,OPP-236033,Email,2023-07-31,Completed,Rep 6
TASK-301212,OPP-202728,Follow-up,2025-01-21,Completed,Rep 17
TASK-301213,OPP-206155,Follow-up,2024-07-01,Completed,Rep 38
TASK-301214,OPP-223534,Demo,2025-02-24,Open,Rep 30
TASK-301215,OPP-204808,Contract Review,2023-03-26,Open,Rep 26
TASK-301216,OPP-238056,Email,2023-01-20,Completed,Rep 40
TASK-301217,OPP-200820,Proposal Sent,2025-05-21,Completed,Rep 6
TASK-301218,OPP-230450,Demo,2024-10-02,Completed,Rep 24
TASK-301219,OPP-220798,Email,2024-07-27,Completed,Rep 27
TASK-301220,OPP-238123,Proposal Sent,2023-08-18,Completed,Rep 42
TASK-301221,OPP-242074,Proposal Sent,2023-05-01,Open,Rep 34
TASK-301222,OPP-232513,Email,2023-12-11,Completed,Rep 5
TASK-301223,OPP-239291,Email,2024-08-06,Completed,Rep 28
TASK-301224,OPP-202477,Email,2023-03-19,Open,Rep 3
TASK-301225,OPP-228419,Demo,2023-02-22,Open,Rep 32
TASK-301226,OPP-224396,Demo,2024-07-20,Completed,Rep 7
TASK-301227,OPP-212498,Call,2023-07-27,Completed,Rep 36
TASK-301228,OPP-221000,Call,2024-08-14,Open,Rep 30
TASK-301229,OPP-247974,Demo,2023-12-05,Completed,Rep 6
TASK-301230,OPP-213234,Proposal Sent,2025-04-19,Completed,Rep 25
TASK-301231,OPP-214239,Call,2024-03-27,Open,Rep 3
TASK-301232,OPP-204134,Call,2024-11-23,Completed,Rep 17
TASK-301233,OPP-212846,Email,2023-12-31,Completed,Rep 19
TASK-301234,OPP-244952,Proposal Sent,2023-02-05,Open,Rep 10
TASK-301235,OPP-239800,Contract Review,2024-04-09,Completed,Rep 19
TASK-301236,OPP-205395,Follow-up,2024-08-01,Completed,Rep 39
TASK-301237,OPP-220287,Demo,2024-07-24,Completed,Rep 9
TASK-301238,OPP-220308,Contract Review,2023-12-04,Open,Rep 37
TASK-301239,OPP-242390,Contract Review,2025-01-29,Open,Rep 15
TASK-301240,OPP-241890,Email,2025-03-15,Completed,Rep 17
TASK-301241,OPP-226629,Follow-up,2023-10-25,Completed,Rep 11
TASK-301242,OPP-206601,Contract Review,2023-11-19,Completed,Rep 21
TASK-301243,OPP-239053,Email,2023-08-11,Completed,Rep 14
TASK-301244,OPP-220752,Call,2025-06-29,Completed,Rep 5
TASK-301245,OPP-213202,Email,2024-08-07,Open,Rep 36
TASK-301246,OPP-216625,Proposal Sent,2024-07-02,Open,Rep 14
TASK-301247,OPP-205010,Contract Review,2025-03-01,Completed,Rep 20
TASK-301248,OPP-236828,Email,2024-09-14,Open,Rep 28
TASK-301249,OPP-225868,Contract Review,2023-11-05,Open,Rep 6
TASK-301250,OPP-200840,Call,2023-09-09,Completed,Rep 31
TASK-301251,OPP-230003,Contract Review,2023-08-20,Open,Rep 4
TASK-301252,OPP-217977,Email,2024-04-08,Open,Rep 5
TASK-301253,OPP-242881,Call,2023-07-27,Open,Rep 32
TASK-301254,OPP-242275,Demo,2025-08-15,Completed,Rep 7
TASK-301255,OPP-204374,Follow-up,2023-04-17,Completed,Rep 3
TASK-301256,OPP-211031,Demo,2024-06-10,Completed,Rep 8
TASK-301257,OPP-205201,Proposal Sent,2024-07-02,Completed,Rep 36
TASK-301258,OPP-220014,Demo,2024-05-26,Open,Rep 19
TASK-301259,OPP-228609,Email,2023-06-17,Completed,Rep 35
TASK-301260,OPP-226025,Email,2024-10-26,Completed,Rep 42
TASK-301261,OPP-238525,Proposal Sent,2023-08-07,Completed,Rep 40
TASK-301262,OPP-220017,Proposal Sent,2025-06-28,Completed,Rep 41
TASK-301263,OPP-211622,Email,2025-04-10,Completed,Rep 11
TASK-301264,OPP-243509,Follow-up,2023-12-06,Completed,Rep 14
TASK-301265,OPP-215216,Email,2025-06-13,Blocked,Rep 35
TASK-301266,OPP-206978,Email,2024-03-25,Completed,Rep 38
TASK-301267,OPP-242740,Email,2024-05-12,Completed,Rep 32
TASK-301268,OPP-220050,Demo,2024-10-18,Completed,Rep 19
TASK-301269,OPP-236658,Call,2025-06-13,Completed,Rep 18
TASK-301270,OPP-211245,Email,2023-11-17,Completed,Rep 30
TASK-301271,OPP-213778,Proposal Sent,2025-04-06,Completed,Rep 26
TASK-301272,OPP-208305,Email,2023-05-16,Completed,Rep 28
TASK-301273,OPP-222827,Proposal Sent,2023-11-23,Open,Rep 1
TASK-301274,OPP-231797,Call,2024-05-15,Open,Rep 35
TASK-301275,OPP-228967,Call,2023-03-01,Completed,Rep 22
TASK-301276,OPP-208873,Call,2024-06-12,Completed,Rep 36
TASK-301277,OPP-247377,Contract Review,2023-04-25,Completed,Rep 10
TASK-301278,OPP-230621,Call,2023-11-15,Completed,Rep 19
TASK-301279,OPP-243194,Call,2025-08-20,Completed,Rep 41
TASK-301280,OPP-213441,Call,2024-11-26,Blocked,Rep 41
TASK-301281,OPP-226909,Email,2025-06-21,Blocked,Rep 1
TASK-301282,OPP-225613,Email,2025-02-11,Completed,Rep 3
TASK-301283,OPP-242234,Proposal Sent,2024-12-30,Completed,Rep 27
TASK-301284,OPP-240361,Call,2024-03-18,Completed,Rep 12
TASK-301285,OPP-207476,Call,2024-11-04,Completed,Rep 1
TASK-301286,OPP-215361,Call,2023-12-28,Completed,Rep 25
TASK-301287,OPP-224450,Follow-up,2024-11-21,Completed,Rep 1
TASK-301288,OPP-223195,Email,2025-04-25,Open,Rep 23
TASK-301289,OPP-231966,Contract Review,2023-09-27,Open,Rep 16
TASK-301290,OPP-220357,Demo,2025-08-03,Open,Rep 35
TASK-301291,OPP-233641,Follow-up,2024-06-24,Completed,Rep 10
TASK-301292,OPP-238132,Email,2025-05-04,Completed,Rep 19
TASK-301293,OPP-238858,Proposal Sent,2024-07-20,Completed,Rep 28
TASK-301294,OPP-206423,Email,2024-06-21,Completed,Rep 37
TASK-301295,OPP-227087,Email,2023-07-22,Completed,Rep 2
TASK-301296,OPP-205919,Call,2023-07-28,Completed,Rep 1
TASK-301297,OPP-237671,Follow-up,2023-10-24,Completed,Rep 20
TASK-301298,OPP-227299,Email,2025-06-06,Completed,Rep 19
TASK-301299,OPP-200607,Call,2024-04-05,Completed,Rep 6
TASK-301300,OPP-203232,Contract Review,2023-04-25,Completed,Rep 24
TASK-301301,OPP-224496,Email,2023-02-26,Completed,Rep 16
TASK-301302,OPP-248605,Follow-up,2024-01-16,Completed,Rep 24
TASK-301303,OPP-222332,Email,2023-04-22,Completed,Rep 2
TASK-301304,OPP-200637,Email,2025-01-16,Completed,Rep 30
TASK-301305,OPP-216784,Email,2024-10-09,Completed,Rep 26
TASK-301306,OPP-219933,Demo,2025-04-17,Open,Rep 30
TASK-301307,OPP-215216,Call,2025-04-13,Completed,Rep 20
TASK-301308,OPP-210025,Demo,2025-03-18,Completed,Rep 5
TASK-301309,OPP-238231,Call,2024-02-06,Open,Rep 10
TASK-301310,OPP-230097,Call,2023-05-07,Completed,Rep 37
TASK-301311,OPP-223938,Call,2023-12-22,Completed,Rep 27
TASK-301312,OPP-205395,Email,2024-08-21,Open,Rep 38
TASK-301313,OPP-226015,Email,2025-07-14,Blocked,Rep 10
TASK-301314,OPP-235445,Proposal Sent,2024-01-10,Completed,Rep 24
TASK-301315,OPP-220435,Follow-up,2023-07-18,Completed,Rep 9
TASK-301316,OPP-214875,Proposal Sent,2024-05-25,Completed,Rep 17
TASK-301317,OPP-235626,Call,2023-07-23,Completed,Rep 8
TASK-301318,OPP-242308,Email,2023-02-19,Completed,Rep 35
TASK-301319,OPP-239044,Proposal Sent,2025-01-06,Completed,Rep 6
TASK-301320,OPP-223210,Call,2023-07-29,Completed,Rep 23
TASK-301321,OPP-209052,Call,2023-11-18,Open,Rep 35
TASK-301322,OPP-244253,Follow-up,2024-06-15,Completed,Rep 5
TASK-301323,OPP-206993,Proposal Sent,2025-02-09,Completed,Rep 9
TASK-301324,OPP-211936,Follow-up,2025-07-12,Completed,Rep 32
TASK-301325,OPP-249899,Email,2024-08-06,Open,Rep 28
TASK-301326,OPP-221410,Email,2024-03-15,Completed,Rep 29
TASK-301327,OPP-240186,Call,2023-05-26,Completed,Rep 22
TASK-301328,OPP-248656,Demo,2023-07-09,Completed,Rep 7
TASK-301329,OPP-238963,Email,2024-05-28,Completed,Rep 4
TASK-301330,OPP-213491,Follow-up,2025-06-17,Open,Rep 3
TASK-301331,OPP-205944,Follow-up,2025-01-24,Completed,Rep 18
TASK-301332,OPP-217629,Call,2024-10-29,Completed,Rep 36
TASK-301333,OPP-248668,Call,2023-08-28,Completed,Rep 41
TASK-301334,OPP-225159,Call,2023-03-08,Completed,Rep 25
TASK-301335,OPP-205102,Email,2024-07-07,Completed,Rep 20
TASK-301336,OPP-201421,Follow-up,2025-02-08,Open,Rep 30
TASK-301337,OPP-206594,Follow-up,2024-04-28,Completed,Rep 2
TASK-301338,OPP-203019,Email,2023-01-31,Open,Rep 8
TASK-301339,OPP-249088,Email,2023-04-06,Open,Rep 21
TASK-301340,OPP-209877,Email,2024-05-31,Blocked,Rep 7
TASK-301341,OPP-234738,Demo,2025-09-18,Completed,Rep 41
TASK-301342,OPP-225371,Call,2023-05-20,Completed,Rep 23
TASK-301343,OPP-248127,Email,2023-09-10,Completed,Rep 26
TASK-301344,OPP-230189,Proposal Sent,2025-04-29,Completed,Rep 24
TASK-301345,OPP-235652,Contract Review,2024-06-16,Completed,Rep 24
TASK-301346,OPP-247704,Call,2024-04-09,Completed,Rep 26
TASK-301347,OPP-207373,Follow-up,2024-08-30,Completed,Rep 15
TASK-301348,OPP-217715,Contract Review,2025-01-26,Completed,Rep 3
TASK-301349,OPP-209354,Call,2024-02-06,Completed,Rep 15
TASK-301350,OPP-244870,Email,2023-11-13,Open,Rep 14
TASK-301351,OPP-222850,Call,2024-10-04,Completed,Rep 28
TASK-301352,OPP-209808,Email,2024-02-01,Open,Rep 12
TASK-301353,OPP-245417,Email,2025-04-24,Completed,Rep 40
TASK-301354,OPP-206599,Proposal Sent,2023-04-08,Completed,Rep 27
TASK-301355,OPP-221135,Follow-up,2023-03-25,Completed,Rep 31
TASK-301356,OPP-222203,Follow-up,2023-03-26,Completed,Rep 31
TASK-301357,OPP-237599,Contract Review,2023-06-21,Completed,Rep 32
TASK-301358,OPP-223607,Call,2025-06-20,Completed,Rep 42
TASK-301359,OPP-232258,Call,2023-06-18,Completed,Rep 18
TASK-301360,OPP-234657,Follow-up,2024-10-13,Completed,Rep 29
TASK-301361,OPP-208033,Email,2023-08-20,Completed,Rep 8
TASK-301362,OPP-227226,Email,2024-06-14,Open,Rep 18
TASK-301363,OPP-205941,Call,2023-10-01,Open,Rep 1
TASK-301364,OPP-248348,Call,2023-12-29,Blocked,Rep 34
TASK-301365,OPP-243530,Email,2024-07-18,Completed,Rep 30
TASK-301366,OPP-222645,Follow-up,2023-03-26,Completed,Rep 13
TASK-301367,OPP-214953,Demo,2023-02-05,Completed,Rep 28
TASK-301368,OPP-239208,Call,2025-01-12,Completed,Rep 4
TASK-301369,OPP-248301,Email,2023-06-25,Completed,Rep 17
TASK-301370,OPP-230980,Email,2023-02-14,Completed,Rep 41
TASK-301371,OPP-220787,Call,2024-03-02,Completed,Rep 18
TASK-301372,OPP-207221,Demo,2023-10-12,Completed,Rep 12
TASK-301373,OPP-207124,Email,2024-05-15,Completed,Rep 38
TASK-301374,OPP-241871,Proposal Sent,2025-01-08,Open,Rep 39
TASK-301375,OPP-207360,Demo,2024-09-09,Open,Rep 40
TASK-301376,OPP-226170,Email,2024-05-24,Completed,Rep 27
TASK-301377,OPP-227390,Demo,2025-01-01,Blocked,Rep 6
TASK-301378,OPP-220448,Email,2023-03-19,Completed,Rep 23
TASK-301379,OPP-249822,Follow-up,2024-04-03,Completed,Rep 4
TASK-301380,OPP-217318,Email,2024-09-21,Completed,Rep 40
TASK-301381,OPP-216716,Proposal Sent,2023-11-28,Completed,Rep 35
TASK-301382,OPP-230887,Call,2024-08-22,Blocked,Rep 30
TASK-301383,OPP-232490,Proposal Sent,2023-03-03,Completed,Rep 37
TASK-301384,OPP-214577,Call,2024-03-02,Open,Rep 42
TASK-301385,OPP-234562,Email,2025-04-04,Completed,Rep 21
TASK-301386,OPP-243618,Email,2024-11-28,Completed,Rep 1
TASK-301387,OPP-204486,Follow-up,2024-05-31,Completed,Rep 14
TASK-301388,OPP-247530,Call,2025-03-11,Open,Rep 3
TASK-301389,OPP-216952,Demo,2025-05-20,Completed,Rep 17
TASK-301390,OPP-240332,Call,2023-08-27,Completed,Rep 31
TASK-301391,OPP-232903,Email,2025-04-23,Completed,Rep 9
TASK-301392,OPP-202915,Call,2025-07-25,Completed,Rep 1
TASK-301393,OPP-237601,Email,2023-09-30,Completed,Rep 34
TASK-301394,OPP-211426,Contract Review,2023-01-15,Open,Rep 40
TASK-301395,OPP-236473,Email,2024-06-19,Open,Rep 4
TASK-301396,OPP-238829,Demo,2025-05-24,Completed,Rep 9
TASK-301397,OPP-204894,Email,2024-01-09,Completed,Rep 1
TASK-301398,OPP-231578,Contract Review,2024-02-17,Completed,Rep 28
TASK-301399,OPP-212301,Email,2024-04-14,Completed,Rep 12
TASK-301400,OPP-246424,Call,2023-09-01,Completed,Rep 24
TASK-301401,OPP-236388,Proposal Sent,2025-01-10,Completed,Rep 36
TASK-301402,OPP-202852,Call,2025-06-25,Completed,Rep 23
TASK-301403,OPP-243942,Contract Review,2023-04-13,Completed,Rep 9
TASK-301404,OPP-237726,Follow-up,2025-01-16,Completed,Rep 31
TASK-301405,OPP-221770,Demo,2025-07-11,Completed,Rep 11
TASK-301406,OPP-230668,Proposal Sent,2025-03-04,Completed,Rep 42
TASK-301407,OPP-200740,Email,2023-02-12,Completed,Rep 24
TASK-301408,OPP-224753,Call,2023-12-15,Completed,Rep 28
TASK-301409,OPP-219136,Email,2025-07-19,Completed,Rep 22
TASK-301410,OPP-221139,Call,2025-05-19,Completed,Rep 21
TASK-301411,OPP-220806,Email,2024-01-16,Open,Rep 29
TASK-301412,OPP-222428,Email,2023-09-11,Completed,Rep 31
TASK-301413,OPP-248335,Email,2025-07-12,Completed,Rep 34
TASK-301414,OPP-236386,Follow-up,2024-09-02,Completed,Rep 33
TASK-301415,OPP-218437,Call,2023-07-07,Completed,Rep 32
TASK-301416,OPP-218124,Email,2024-04-10,Open,Rep 8
TASK-301417,OPP-205746,Demo,2024-04-17,Completed,Rep 6
TASK-301418,OPP-233956,Contract Review,2023-04-08,Open,Rep 42
TASK-301419,OPP-217527,Proposal Sent,2024-05-21,Completed,Rep 40
TASK-301420,OPP-216316,Proposal Sent,2025-07-07,Completed,Rep 10
TASK-301421,OPP-219981,Demo,2023-09-29,Completed,Rep 34
TASK-301422,OPP-231797,Proposal Sent,2024-04-07,Completed,Rep 16
TASK-301423,OPP-226014,Follow-up,2024-12-29,Completed,Rep 14
TASK-301424,OPP-214923,Email,2024-12-30,Completed,Rep 31
TASK-301425,OPP-206831,Call,2023-09-08,Blocked,Rep 6
TASK-301426,OPP-229885,Call,2024-02-24,Completed,Rep 15
TASK-301427,OPP-236039,Email,2025-01-05,Open,Rep 21
TASK-301428,OPP-225024,Call,2023-09-06,Completed,Rep 40
TASK-301429,OPP-235416,Follow-up,2024-11-16,Completed,Rep 7
TASK-301430,OPP-227881,Email,2023-08-09,Completed,Rep 36
TASK-301431,OPP-238036,Follow-up,2024-04-13,Open,Rep 1
TASK-301432,OPP-236236,Proposal Sent,2024-01-10,Completed,Rep 15
TASK-301433,OPP-246341,Follow-up,2024-02-08,Open,Rep 29
TASK-301434,OPP-240380,Proposal Sent,2023-01-08,Completed,Rep 11
TASK-301435,OPP-206546,Email,2023-08-11,Open,Rep 4
TASK-301436,OPP-204756,Email,2023-11-29,Completed,Rep 27
TASK-301437,OPP-243110,Call,2023-06-24,Completed,Rep 27
TASK-301438,OPP-242756,Proposal Sent,2024-04-11,Completed,Rep 40
TASK-301439,OPP-226659,Email,2023-04-20,Completed,Rep 19
TASK-301440,OPP-218413,Email,2025-04-08,Completed,Rep 9
TASK-301441,OPP-220441,Call,2024-04-21,Completed,Rep 41
TASK-301442,OPP-225727,Proposal Sent,2024-11-11,Completed,Rep 16
TASK-301443,OPP-201276,Call,2023-03-05,Open,Rep 32
TASK-301444,OPP-211417,Email,2023-05-23,Completed,Rep 8
TASK-301445,OPP-249780,Demo,2024-11-21,Open,Rep 21
TASK-301446,OPP-216157,Proposal Sent,2023-10-07,Completed,Rep 6
TASK-301447,OPP-224481,Call,2024-08-01,Completed,Rep 15
TASK-301448,OPP-225808,Call,2023-12-25,Completed,Rep 40
TASK-301449,OPP-244837,Contract Review,2024-04-27,Completed,Rep 41
TASK-301450,OPP-216857,Follow-up,2023-08-03,Completed,Rep 23
TASK-301451,OPP-236395,Email,2025-02-20,Completed,Rep 3
TASK-301452,OPP-206510,Follow-up,2025-07-09,Completed,Rep 27
TASK-301453,OPP-233882,Email,2025-06-10,Completed,Rep 6
TASK-301454,OPP-224197,Email,2023-08-06,Completed,Rep 19
TASK-301455,OPP-229522,Email,2024-05-06,Open,Rep 38
TASK-301456,OPP-208947,Call,2023-05-23,Completed,Rep 21
TASK-301457,OPP-204078,Email,2025-04-05,Completed,Rep 26
TASK-301458,OPP-248557,Demo,2024-07-22,Open,Rep 1
TASK-301459,OPP-245217,Call,2024-08-08,Completed,Rep 11
TASK-301460,OPP-202583,Follow-up,2023-09-23,Completed,Rep 5
TASK-301461,OPP-219062,Demo,2024-10-07,Completed,Rep 18
TASK-301462,OPP-233421,Email,2023-10-31,Completed,Rep 34
TASK-301463,OPP-208945,Call,2023-04-16,Open,Rep 39
TASK-301464,OPP-202354,Follow-up,2024-11-24,Completed,Rep 20
TASK-301465,OPP-236546,Contract Review,2023-10-02,Completed,Rep 27
TASK-301466,OPP-246056,Follow-up,2023-04-01,Completed,Rep 17
TASK-301467,OPP-227266,Demo,2023-11-22,Completed,Rep 1
TASK-301468,OPP-247169,Email,2025-05-29,Completed,Rep 24
TASK-301469,OPP-215348,Call,2024-07-28,Completed,Rep 12
TASK-301470,OPP-210059,Proposal Sent,2025-04-08,Completed,Rep 17
TASK-301471,OPP-246859,Call,2024-05-17,Open,Rep 28
TASK-301472,OPP-225968,Proposal Sent,2024-01-22,Open,Rep 22
TASK-301473,OPP-213276,Call,2023-06-14,Completed,Rep 33
TASK-301474,OPP-246266,Email,2025-01-03,Completed,Rep 9
TASK-301475,OPP-246408,Call,2024-05-02,Completed,Rep 12
TASK-301476,OPP-202323,Follow-up,2025-04-25,Completed,Rep 40
TASK-301477,OPP-210274,Proposal Sent,2024-02-19,Completed,Rep 25
TASK-301478,OPP-224125,Call,2023-03-06,Open,Rep 22
TASK-301479,OPP-241065,Email,2024-07-15,Completed,Rep 33
TASK-301480,OPP-236283,Demo,2024-12-06,Completed,Rep 4
TASK-301481,OPP-208610,Proposal Sent,2023-08-13,Completed,Rep 21
TASK-301482,OPP-221475,Demo,2025-04-16,Open,Rep 4
TASK-301483,OPP-206816,Call,2023-12-12,Open,Rep 17
TASK-301484,OPP-231629,Email,2025-07-17,Completed,Rep 7
TASK-301485,OPP-203463,Email,2024-02-16,Completed,Rep 38
TASK-301486,OPP-204571,Call,2023-05-23,Completed,Rep 36
TASK-301487,OPP-205711,Contract Review,2023-05-28,Open,Rep 16
TASK-301488,OPP-226405,Proposal Sent,2024-07-28,Completed,Rep 18
TASK-301489,OPP-214809,Call,2023-07-06,Completed,Rep 12
TASK-301490,OPP-237939,Email,2023-10-15,Completed,Rep 20
TASK-301491,OPP-208397,Call,2025-01-07,Completed,Rep 7
TASK-301492,OPP-249888,Proposal Sent,2025-02-20,Open,Rep 36
TASK-301493,OPP-219402,Contract Review,2023-01-18,Completed,Rep 24
TASK-301494,OPP-232983,Follow-up,2023-11-26,Completed,Rep 13
TASK-301495,OPP-209208,Follow-up,2023-11-26,Completed,Rep 19
TASK-301496,OPP-239167,Follow-up,2024-05-19,Completed,Rep 35
TASK-301497,OPP-205496,Call,2025-04-14,Completed,Rep 25
TASK-301498,OPP-243969,Demo,2023-03-30,Completed,Rep 12
TASK-301499,OPP-208472,Email,2024-05-17,Completed,Rep 22
TASK-301500,OPP-218954,Contract Review,2023-11-14,Completed,Rep 42
TASK-301501,OPP-220136,Proposal Sent,2025-05-07,Blocked,Rep 1
TASK-301502,OPP-204515,Email,2024-06-01,Completed,Rep 10
TASK-301503,OPP-240126,Demo,2023-07-30,Completed,Rep 13
TASK-301504,OPP-249420,Email,2023-06-13,Completed,Rep 42
TASK-301505,OPP-212724,Demo,2025-01-19,Completed,Rep 40
TASK-301506,OPP-213291,Demo,2024-05-21,Completed,Rep 19
TASK-301507,OPP-221994,Email,2023-07-11,Blocked,Rep 34
TASK-301508,OPP-247721,Email,2024-01-01,Completed,Rep 13
TASK-301509,OPP-245000,Contract Review,2023-06-16,Completed,Rep 3
TASK-301510,OPP-227866,Call,2024-11-16,Completed,Rep 27
TASK-301511,OPP-237160,Call,2025-06-01,Completed,Rep 17
TASK-301512,OPP-220512,Email,2023-09-06,Completed,Rep 16
TASK-301513,OPP-200209,Call,2023-12-15,Open,Rep 40
TASK-301514,OPP-208375,Email,2023-05-03,Completed,Rep 31
TASK-301515,OPP-241397,Email,2024-10-17,Completed,Rep 25
TASK-301516,OPP-229789,Call,2024-05-25,Completed,Rep 40
TASK-301517,OPP-211798,Demo,2023-06-07,Completed,Rep 15
TASK-301518,OPP-231345,Demo,2024-03-25,Completed,Rep 30
TASK-301519,OPP-204441,Call,2024-03-05,Completed,Rep 18
TASK-301520,OPP-223888,Call,2025-07-24,Open,Rep 3
TASK-301521,OPP-247686,Call,2025-01-06,Completed,Rep 20
TASK-301522,OPP-238934,Call,2023-12-09,Completed,Rep 11
TASK-301523,OPP-233068,Email,2025-01-11,Completed,Rep 24
TASK-301524,OPP-229924,Email,2025-05-16,Completed,Rep 24
TASK-301525,OPP-202136,Email,2025-06-16,Completed,Rep 33
TASK-301526,OPP-234452,Contract Review,2023-09-11,Completed,Rep 30
TASK-301527,OPP-242228,Call,2024-07-03,Completed,Rep 16
TASK-301528,OPP-246129,Follow-up,2023-01-05,Completed,Rep 10
TASK-301529,OPP-243000,Demo,2024-12-21,Completed,Rep 26
TASK-301530,OPP-230367,Demo,2024-03-18,Open,Rep 21
TASK-301531,OPP-208124,Contract Review,2024-05-01,Blocked,Rep 11
TASK-301532,OPP-205828,Demo,2023-05-13,Completed,Rep 31
TASK-301533,OPP-222519,Call,2024-11-10,Completed,Rep 4
TASK-301534,OPP-206512,Email,2023-05-04,Completed,Rep 37
TASK-301535,OPP-219482,Demo,2024-09-23,Completed,Rep 10
TASK-301536,OPP-215267,Follow-up,2023-10-20,Open,Rep 13
TASK-301537,OPP-234536,Call,2024-05-06,Blocked,Rep 2
TASK-301538,OPP-221617,Call,2023-08-13,Completed,Rep 2
TASK-301539,OPP-232606,Email,2024-08-24,Completed,Rep 35
TASK-301540,OPP-222813,Email,2024-11-29,Completed,Rep 10
TASK-301541,OPP-213028,Email,2023-12-11,Completed,Rep 36
TASK-301542,OPP-236309,Email,2025-03-03,Completed,Rep 17
TASK-301543,OPP-233429,Follow-up,2023-08-04,Completed,Rep 14
TASK-301544,OPP-229852,Email,2023-04-24,Completed,Rep 40
TASK-301545,OPP-216241,Contract Review,2023-12-12,Completed,Rep 6
TASK-301546,OPP-206234,Contract Review,2025-01-03,Completed,Rep 2
TASK-301547,OPP-240312,Call,2023-05-01,Completed,Rep 1
TASK-301548,OPP-201522,Contract Review,2024-05-10,Open,Rep 2
TASK-301549,OPP-206440,Demo,2024-01-03,Completed,Rep 5
TASK-301550,OPP-200843,Call,2024-04-04,Completed,Rep 40
TASK-301551,OPP-204464,Email,2024-09-24,Completed,Rep 25
TASK-301552,OPP-205611,Follow-up,2024-12-23,Completed,Rep 18
TASK-301553,OPP-248287,Call,2023-06-19,Completed,Rep 12
TASK-301554,OPP-210309,Call,2024-01-30,Open,Rep 40
TASK-301555,OPP-208747,Demo,2024-03-10,Completed,Rep 24
TASK-301556,OPP-218280,Call,2025-01-04,Completed,Rep 8
TASK-301557,OPP-210111,Email,2024-05-19,Completed,Rep 4
TASK-301558,OPP-234929,Contract Review,2023-11-23,Completed,Rep 15
TASK-301559,OPP-247900,Demo,2023-03-22,Completed,Rep 27
TASK-301560,OPP-213162,Email,2025-05-01,Completed,Rep 35
TASK-301561,OPP-216162,Proposal Sent,2023-07-11,Completed,Rep 25
TASK-301562,OPP-205807,Call,2025-03-25,Completed,Rep 37
TASK-301563,OPP-248297,Email,2025-03-23,Completed,Rep 16
TASK-301564,OPP-242889,Proposal Sent,2023-09-07,Completed,Rep 18
TASK-301565,OPP-228686,Follow-up,2023-04-27,Completed,Rep 32
TASK-301566,OPP-248404,Call,2024-11-19,Completed,Rep 34
TASK-301567,OPP-244041,Demo,2024-05-11,Completed,Rep 19
TASK-301568,OPP-216612,Email,2023-05-23,Open,Rep 25
TASK-301569,OPP-207073,Call,2024-02-01,Completed,Rep 41
TASK-301570,OPP-224923,Call,2023-06-28,Completed,Rep 17
TASK-301571,OPP-212187,Call,2023-07-21,Completed,Rep 8
TASK-301572,OPP-214928,Demo,2023-08-02,Completed,Rep 11
TASK-301573,OPP-201622,Email,2023-04-19,Completed,Rep 13
TASK-301574,OPP-241630,Call,2025-04-02,Completed,Rep 4
TASK-301575,OPP-244386,Demo,2023-10-31,Completed,Rep 18
TASK-301576,OPP-209998,Follow-up,2025-03-01,Completed,Rep 35
TASK-301577,OPP-216524,Contract Review,2025-06-12,Completed,Rep 42
TASK-301578,OPP-230094,Email,2023-12-09,Completed,Rep 13
TASK-301579,OPP-231093,Contract Review,2023-08-08,Completed,Rep 22
TASK-301580,OPP-214510,Email,2025-01-07,Completed,Rep 22
TASK-301581,OPP-213605,Call,2024-03-21,Completed,Rep 9
TASK-301582,OPP-236637,Contract Review,2024-12-19,Open,Rep 5
TASK-301583,OPP-242172,Email,2023-07-27,Open,Rep 31
TASK-301584,OPP-214302,Call,2024-05-14,Completed,Rep 18
TASK-301585,OPP-237481,Proposal Sent,2025-01-14,Completed,Rep 13
TASK-301586,OPP-234365,Call,2024-11-12,Open,Rep 21
TASK-301587,OPP-220338,Email,2024-04-10,Completed,Rep 39
TASK-301588,OPP-243535,Follow-up,2023-05-07,Completed,Rep 15
TASK-301589,OPP-215377,Call,2023-11-21,Open,Rep 34
TASK-301590,OPP-235138,Demo,2023-10-14,Completed,Rep 40
TASK-301591,OPP-238752,Call,2024-12-04,Completed,Rep 40
TASK-301592,OPP-238218,Call,2025-01-22,Completed,Rep 35
TASK-301593,OPP-220783,Email,2023-02-26,Completed,Rep 21
TASK-301594,OPP-218654,Follow-up,2024-06-26,Completed,Rep 4
TASK-301595,OPP-210728,Demo,2024-01-13,Completed,Rep 19
TASK-301596,OPP-243163,Demo,2023-03-09,Completed,Rep 30
TASK-301597,OPP-235800,Email,2025-03-16,Completed,Rep 16
TASK-301598,OPP-219635,Demo,2025-05-05,Completed,Rep 7
TASK-301599,OPP-223574,Proposal Sent,2023-06-01,Blocked,Rep 4
TASK-301600,OPP-216511,Call,2024-07-21,Completed,Rep 14
TASK-301601,OPP-240608,Email,2024-11-25,Completed,Rep 35
TASK-301602,OPP-245399,Email,2025-04-07,Completed,Rep 25
TASK-301603,OPP-214806,Call,2024-07-19,Completed,Rep 35
TASK-301604,OPP-248216,Email,2025-06-08,Completed,Rep 26
